Symbol,Name
CYTK,"Cytokinetics, Incorporated"
UTHR,United Therapeutics Corporation
IONS,"Ionis Pharmaceuticals, Inc."
ARWR,"Arrowhead Pharmaceuticals, Inc."
SBSW,Sibanye Stillwater Limited
HMY,Harmony Gold Mining Company Limited
JOYY,JOYY Inc.
IREN,IREN Limited
MENS,Jyong Biotech Ltd.
AL,Air Lease Corporation
ULTA,"Ulta Beauty, Inc."
ONC,BeOne Medicines AG
INSM,Insmed Incorporated
DOOO,BRP Inc.
QXO,"QXO, Inc."
RARE,Ultragenyx Pharmaceutical Inc.
EQX,Equinox Gold Corp.
PTCT,"PTC Therapeutics, Inc."
BEKE,KE Holdings Inc.
CRNX,"Crinetics Pharmaceuticals, Inc."
CROX,"Crocs, Inc."
AGI,Alamos Gold Inc.
CIFR,Cipher Mining Inc.
LI,Li Auto Inc.
BHC,Bausch Health Companies Inc.
BIIB,Biogen Inc.
ASND,Ascendis Pharma A/S
MUR,Murphy Oil Corporation
AU,AngloGold Ashanti plc
GMAB,Genmab A/S
RL,Ralph Lauren Corporation
W,Wayfair Inc.
PFGC,Performance Food Group Company
HL,Hecla Mining Company
ETOR,eToro Group Ltd.
APGE,"Apogee Therapeutics, Inc."
AG,First Majestic Silver Corp.
GFI,Gold Fields Limited
AEO,"American Eagle Outfitters, Inc."
LQDA,Liquidia Corporation
ARX,Accelerant Holdings
